Type of crime,Region,Year,The number of crimes,The number of crimes (cases per 100.000 population),is_federal_level
Murder,Russian Federation,2008,19740.0,13.8,True
Murder,Belgorod Oblast,2008,98.0,6.4,False
Murder,Bryansk Oblast,2008,155.0,11.9,False
Murder,Vladimir Oblast,2008,176.0,12.0,False
Murder,Voronezh Oblast,2008,177.0,7.5,False
Murder,Ivanovo Oblast,2008,154.0,14.2,False
Murder,Kaluga Oblast,2008,135.0,13.3,False
Murder,Kostroma Oblast,2008,104.0,15.2,False
Murder,Kursk Oblast,2008,104.0,9.0,False
Murder,Lipetsk Oblast,2008,116.0,9.8,False
Murder,Moscow Oblast,2008,1011.0,14.7,False
Murder,Oryol Oblast,2008,97.0,12.0,False
Murder,Ryazan Oblast,2008,94.0,8.0,False
Murder,Smolensk Oblast,2008,116.0,11.5,False
Murder,Tambov Oblast,2008,96.0,8.6,False
Murder,Tver Oblast,2008,218.0,15.7,False
Murder,Tula Oblast,2008,202.0,12.7,False
Murder,Yaroslavl Oblast,2008,179.0,13.8,False
Murder,Moscow,2008,981.0,8.8,False
Murder,Republic of Karelia,2008,97.0,14.7,False
Murder,Komi Republic,2008,171.0,18.3,False
Murder,Arkhangelsk Oblast,2008,199.0,16.4,False
Murder,Nenets Autonomous Okrug,2008,17.0,40.6,False
Murder,Vologda Oblast,2008,155.0,12.7,False
Murder,Kaliningrad Oblast,2008,101.0,10.8,False
Murder,Leningrad Oblast,2008,312.0,18.4,False
Murder,Murmansk Oblast,2008,80.0,9.8,False
Murder,Novgorod Oblast,2008,106.0,16.3,False
Murder,Pskov Oblast,2008,98.0,14.0,False
Murder,Saint Petersburg,2008,645.0,13.5,False
Murder,Republic of Dagestan,2008,169.0,6.1,False
Murder,Republic of Ingushetia,2008,80.0,19.7,False
Murder,Kabardino-Balkar Republic,2008,68.0,7.9,False
Murder,Karachay-Cherkess Republic,2008,43.0,9.2,False
Murder,Republic of North Ossetia-Alania,2008,77.0,10.8,False
Murder,Chechen Republic,2008,107.0,8.9,False
Murder,Stavropol Krai,2008,233.0,8.4,False
Murder,Republic of Adygea,2008,43.0,9.8,False
Murder,Republic of Kalmykia,2008,35.0,12.0,False
Murder,Republic of Crimea,2008,,,False
Murder,Krasnodar Krai,2008,382.0,7.4,False
Murder,Astrakhan Oblast,2008,118.0,11.7,False
Murder,Volgograd Oblast,2008,278.0,10.6,False
Murder,Rostov Oblast,2008,348.0,8.1,False
Murder,Sevastopol,2008,,,False
Murder,Republic of Bashkortostan,2008,420.0,10.4,False
Murder,Mari El Republic,2008,131.0,18.6,False
Murder,Republic of Mordovia,2008,65.0,7.6,False
Murder,Republic of Tatarstan,2008,321.0,8.5,False
Murder,Udmurt Republic,2008,216.0,14.1,False
Murder,Chuvash Republic,2008,124.0,9.8,False
Murder,Perm Krai,2008,529.0,19.8,False
Murder,Kirov Oblast,2008,151.0,10.9,False
Murder,Nizhny Novgorod Oblast,2008,398.0,11.8,False
Murder,Orenburg Oblast,2008,351.0,17.1,False
Murder,Penza Oblast,2008,94.0,6.7,False
Murder,Samara Oblast,2008,436.0,13.5,False
Murder,Saratov Oblast,2008,245.0,9.6,False
Murder,Ulyanovsk Oblast,2008,187.0,14.2,False
Murder,Kurgan Oblast,2008,221.0,23.6,False
Murder,Sverdlovsk Oblast,2008,738.0,17.1,False
Murder,Tyumen Oblast,2008,230.0,17.5,False
Murder,Khanty–Mansi Autonomous Okrug – Yugra,2008,191.0,12.8,False
Murder,Yamalo-Nenets Autonomous Okrug,2008,83.0,15.8,False
Murder,Chelyabinsk Oblast,2008,552.0,15.8,False
Murder,Altai Republic,2008,56.0,27.6,False
Murder,Republic of Buryatia,2008,294.0,30.5,False
Murder,Tuva Republic,2008,196.0,64.5,False
Murder,Republic of Khakassia,2008,103.0,19.4,False
Murder,Altai Krai,2008,377.0,15.4,False
Murder,Zabaykalsky Krai,2008,424.0,38.1,False
Murder,Krasnoyarsk Krai,2008,507.0,17.9,False
Murder,Irkutsk Oblast,2008,745.0,30.3,False
Murder,Kemerovo Oblast,2008,583.0,21.0,False
Murder,Novosibirsk Oblast,2008,391.0,14.8,False
Murder,Omsk Oblast,2008,254.0,12.7,False
Murder,Tomsk Oblast,2008,140.0,13.6,False
Murder,Sakha (Yakutia) Republic,2008,230.0,24.0,False
Murder,Kamchatka Krai,2008,46.0,14.0,False
Murder,Primorsky Krai,2008,498.0,25.2,False
Murder,Khabarovsk Krai,2008,344.0,25.4,False
Murder,Amur Oblast,2008,219.0,25.9,False
Murder,Magadan Oblast,2008,50.0,30.5,False
Murder,Sakhalin Oblast,2008,122.0,24.0,False
Murder,Jewish Autonomous Oblast,2008,53.0,29.7,False
Murder,Chukotka Autonomous Okrug,2008,7.0,13.3,False
Intentional Bodily Harm,Russian Federation,2008,45436.0,31.8,True
Intentional Bodily Harm,Belgorod Oblast,2008,232.0,15.3,False
Intentional Bodily Harm,Bryansk Oblast,2008,334.0,25.6,False
Intentional Bodily Harm,Vladimir Oblast,2008,353.0,24.1,False
Intentional Bodily Harm,Voronezh Oblast,2008,418.0,17.8,False
Intentional Bodily Harm,Ivanovo Oblast,2008,289.0,26.7,False
Intentional Bodily Harm,Kaluga Oblast,2008,258.0,25.4,False
Intentional Bodily Harm,Kostroma Oblast,2008,182.0,26.6,False
Intentional Bodily Harm,Kursk Oblast,2008,206.0,17.9,False
Intentional Bodily Harm,Lipetsk Oblast,2008,235.0,19.8,False
Intentional Bodily Harm,Moscow Oblast,2008,1990.0,28.9,False
Intentional Bodily Harm,Oryol Oblast,2008,179.0,22.2,False
